phi_1 (deg),phi_2 (deg),solarAngle (deg),SA_coeff,Chassis_coeff,ABmag,ABmag_Origin
0,-3,-3,0.9217764253792856,1.0,15.0,15.0
5,-3,2,0.9302386206929986,1.0,7.826185336438404,7.758870388523654
10,-3,7,0.9253076161365608,1.0,7.364371833677322,7.290677151217367
15,-3,12,0.9174404004523514,1.0,6.984033095180474,6.901254348556304
20,-3,17,0.9069397109175096,1.0,6.691257971513775,6.596837610547992
25,-3,22,0.893968851083764,1.0,6.471768103775458,6.363098556369003
30,-3,27,0.8784895805932725,1.0,6.307298408415553,6.181500498263085
35,-3,32,0.8602320767766553,1.0,6.184099336502406,6.037785688908296
40,-3,37,0.83865295040361,1.0,6.095164525746847,5.924156625257066
45,-3,42,0.8128468346115689,1.0,6.0394793129392905,5.83839403272165
50,-3,47,0.7813690883507126,1.0,6.020550928164706,5.78210784372815
55,-3,52,0.7418869736577696,1.0,6.045492674374233,5.759262821788633
60,-3,57,0.6904666686987628,1.0,6.125502348417823,5.775471357439401
65,-3,62,0.6199928760844244,1.0,6.27898975036144,5.838273313583715
70,-3,67,0.5162084934359408,1.0,6.5413525554406355,5.958736216286235
75,-3,72,0.3458257247632391,1.0,7.000246414693779,6.155525011913221
80,-3,77,0.0089629309656821,1.0,8.02555456162628,6.4658443151260006
85,-3,82,0.0,1.0,8.085747200832026,6.984827579416619
90,-3,87,0.0,1.0,8.144004701501586,8.144004701501586
95,-3,92,0.0,1.0,8.231754800645346,8.231754800645346
100,-3,97,0.0,1.0,8.348564065836715,8.348564065836715
105,-3,102,0.0,1.0,8.500321283229148,8.500321283229148
110,-3,107,0.0,1.0,8.71180454455079,8.71180454455079
115,-3,112,0.0,1.0,9.057417026740925,9.057417026740925
120,-3,117,0.0,1.0,9.811441906820559,9.811441906820559
125,-3,122,0.0,0.0,15.0,15.0
130,-3,127,0.0,0.0,15.0,15.0
135,-3,132,0.0,0.0,15.0,15.0
140,-3,137,0.0,0.0,15.0,15.0
145,-3,142,0.0,0.0,15.0,15.0
150,-3,147,0.0,0.0,15.0,15.0
155,-3,152,0.0,0.0,15.0,15.0
160,-3,157,0.0,0.0,15.0,15.0
165,-3,162,0.0,0.0,15.0,15.0
170,-3,167,0.0,0.0,15.0,15.0
175,-3,172,0.0,0.0,15.0,15.0
180,-3,177,0.0,0.0,15.0,15.0
