phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),SA_coeff,Chassis_coeff,ABmag
0,-15,67.01571812044855,52.01571812044856,0.8746793687148489,1.0,15.0
5,-15,66.50700268378345,56.507002683783455,0.8937996598172936,1.0,15.0
10,-15,65.04315493821537,60.043154938215366,0.907499953350734,1.0,15.0
15,-15,62.778265661982765,62.77826566198277,0.9174404004523514,1.0,15.0
20,-15,59.89324771136069,64.89324771136069,0.9069397109175096,1.0,15.0
25,-15,56.54903045354161,66.5490304535416,0.893968851083764,1.0,15.0
30,-15,52.8705131833448,67.8705131833448,0.8784895805932725,1.0,7.96762466772994
35,-15,48.94864212159839,68.9486421215984,0.8602320767766553,1.0,7.74619123006131
40,-15,44.84810527944936,69.84810527944936,0.83865295040361,1.0,7.55331476295059
45,-15,40.61485076778831,70.61485076778831,0.8128468346115689,1.0,7.380997935995327
50,-15,36.2818602008279,71.28186020082791,0.7813690883507126,1.0,7.222794349183812
55,-15,31.87321238755792,71.87321238755791,0.7418869736577696,1.0,7.074525122696464
60,-15,27.40685518306337,72.40685518306337,0.6904666686987628,1.0,6.934604333237883
65,-15,22.89648567506172,72.89648567506173,0.6199928760844244,1.0,6.803927003219151
70,-15,18.35283628721385,73.35283628721385,0.5162084934359408,1.0,6.685253683278472
75,-15,13.784570168126738,73.78457016812673,0.3458257247632391,1.0,6.582074878789571
80,-15,9.198920995961172,74.19892099596117,0.0089629309656821,1.0,6.49706411132298
85,-15,4.602166983797005,74.602166983797,0.0,1.0,6.43042630602895
90,-15,6.459666845562274e-15,15.0,0.0,1.0,6.378680203401875
95,-15,4.602166983797005,14.602166983797003,0.0,1.0,6.334579344031855
100,-15,9.198920995961172,14.198920995961174,0.0,1.0,6.288796700852909
105,-15,13.784570168126738,13.784570168126734,0.0,1.0,6.233445636850875
110,-15,18.35283628721385,13.352836287213847,0.0,1.0,6.166345618181777
115,-15,22.89648567506172,12.896485675061726,0.0,1.0,6.093410339129111
120,-15,27.40685518306337,12.40685518306337,0.0,1.0,6.02566253845068
125,-15,31.87321238755792,11.873212387557912,0.0,1.0,5.969082903849294
130,-15,36.2818602008279,11.281860200827907,0.0,1.0,5.911557373610758
135,-15,40.61485076778831,10.614850767788312,0.0,1.0,5.820080762436156
140,-15,44.84810527944936,9.848105279449356,0.0,1.0,5.664153294761212
145,-15,48.94864212159839,8.948642121598397,0.0,1.0,5.463677520414621
150,-15,52.8705131833448,7.870513183344798,0.0,1.0,5.322074755916589
155,-15,56.54903045354161,6.549030453541604,0.0,1.0,5.392191584346841
160,-15,59.89324771136069,4.893247711360687,0.0,1.0,5.796637699335565
165,-15,62.778265661982765,2.778265661982772,0.0,1.0,6.669994503359186
170,-15,65.04315493821537,0.0431549382153662,0.0,1.0,11.523249526809396
175,-15,66.50700268378345,-3.4929973162165453,0.0,0.0,15.0
180,-15,67.01571812044855,-7.984281879551446,0.0,0.0,15.0
