phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),solarAngle (deg),SA_coeff,Chassis_coeff
0,-21,67.01571812044855,46.01571812044856,-21,0.8450979781161577,1.0
5,-21,66.50700268378345,50.507002683783455,-16,0.8677320401471136,1.0
10,-21,65.04315493821537,54.043154938215366,-11,0.8835790013084445,1.0
15,-21,62.778265661982765,56.77826566198277,-6,0.8948888095421136,1.0
20,-21,59.89324771136069,58.89324771136069,-1,0.9031581349574347,1.0
25,-21,56.54903045354161,60.5490304535416,4,0.893968851083764,1.0
30,-21,52.8705131833448,61.8705131833448,9,0.8784895805932725,1.0
35,-21,48.94864212159839,62.9486421215984,14,0.8602320767766553,1.0
40,-21,44.84810527944936,63.84810527944936,19,0.83865295040361,1.0
45,-21,40.61485076778831,64.61485076778831,24,0.8128468346115689,1.0
50,-21,36.2818602008279,65.28186020082791,29,0.7813690883507126,1.0
55,-21,31.87321238755792,65.87321238755791,34,0.7418869736577696,1.0
60,-21,27.40685518306337,66.40685518306337,39,0.6904666686987628,1.0
65,-21,22.89648567506172,66.89648567506173,44,0.6199928760844244,1.0
70,-21,18.35283628721385,67.35283628721385,49,0.5162084934359408,1.0
75,-21,13.784570168126738,67.78457016812673,54,0.34582572476323914,1.0
80,-21,9.198920995961172,68.19892099596117,59,0.008962930965682125,1.0
85,-21,4.602166983797005,68.602166983797,64,0.0,1.0
90,-21,6.459666845562274e-15,21.0,69,0.0,1.0
95,-21,4.602166983797005,20.602166983797005,74,0.0,1.0
100,-21,9.198920995961172,20.19892099596117,79,0.0,1.0
105,-21,13.784570168126738,19.78457016812673,84,0.0,1.0
110,-21,18.35283628721385,19.352836287213847,89,0.0,1.0
115,-21,22.89648567506172,18.89648567506173,94,0.0,1.0
120,-21,27.40685518306337,18.40685518306337,99,0.0,1.0
125,-21,31.87321238755792,17.873212387557913,104,0.0,1.0
130,-21,36.2818602008279,17.281860200827907,109,0.0,1.0
135,-21,40.61485076778831,16.61485076778831,114,0.0,1.0
140,-21,44.84810527944936,15.848105279449356,119,0.0,1.0
145,-21,48.94864212159839,14.948642121598397,124,0.0,1.0
150,-21,52.8705131833448,13.870513183344798,129,0.0,1.0
155,-21,56.54903045354161,12.549030453541604,134,0.0,1.0
160,-21,59.89324771136069,10.893247711360686,139,0.0,1.0
165,-21,62.778265661982765,8.778265661982772,144,0.0,1.0
170,-21,65.04315493821537,6.043154938215366,149,0.0,1.0
175,-21,66.50700268378345,2.5070026837834547,154,0.0,1.0
180,-21,67.01571812044855,-1.984281879551446,159,0.0,0.0
