rotation_angle_deg,vector1_x,vector1_y,vector1_z,vector2_x,vector2_y,vector2_z
0,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
5,0.061628,0.061628,-0.996195,-0.001903,0.998097,0.061628
10,0.122788,0.122788,-0.984808,-0.007596,0.992404,0.122788
15,0.183013,0.183013,-0.965926,-0.017037,0.982963,0.183013
20,0.241845,0.241845,-0.939693,-0.030154,0.969846,0.241845
25,0.298836,0.298836,-0.906308,-0.046846,0.953154,0.298836
30,0.353553,0.353553,-0.866025,-0.066987,0.933013,0.353553
35,0.405580,0.405580,-0.819152,-0.090424,0.909576,0.405580
40,0.454519,0.454519,-0.766044,-0.116978,0.883022,0.454519
45,0.500000,0.500000,-0.707107,-0.146447,0.853553,0.500000
50,0.541675,0.541675,-0.642788,-0.178606,0.821394,0.541675
55,0.579228,0.579228,-0.573576,-0.213212,0.786788,0.579228
60,0.612372,0.612372,-0.500000,-0.250000,0.750000,0.612372
65,0.640856,0.640856,-0.422618,-0.288691,0.711309,0.640856
70,0.664463,0.664463,-0.342020,-0.328990,0.671010,0.664463
75,0.683013,0.683013,-0.258819,-0.370590,0.629410,0.683013
80,0.696364,0.696364,-0.173648,-0.413176,0.586824,0.696364
85,0.704416,0.704416,-0.087156,-0.456422,0.543578,0.704416
90,0.707107,0.707107,-0.000000,-0.500000,0.500000,0.707107
95,0.704416,0.704416,0.087156,-0.543578,0.456422,0.704416
100,0.696364,0.696364,0.173648,-0.586824,0.413176,0.696364
105,0.683013,0.683013,0.258819,-0.629410,0.370590,0.683013
110,0.664463,0.664463,0.342020,-0.671010,0.328990,0.664463
115,0.640856,0.640856,0.422618,-0.711309,0.288691,0.640856
120,0.612372,0.612372,0.500000,-0.750000,0.250000,0.612372
125,0.579228,0.579228,0.573576,-0.786788,0.213212,0.579228
130,0.541675,0.541675,0.642788,-0.821394,0.178606,0.541675
135,0.500000,0.500000,0.707107,-0.853553,0.146447,0.500000
140,0.454519,0.454519,0.766044,-0.883022,0.116978,0.454519
145,0.405580,0.405580,0.819152,-0.909576,0.090424,0.405580
150,0.353553,0.353553,0.866025,-0.933013,0.066987,0.353553
155,0.298836,0.298836,0.906308,-0.953154,0.046846,0.298836
160,0.241845,0.241845,0.939693,-0.969846,0.030154,0.241845
165,0.183013,0.183013,0.965926,-0.982963,0.017037,0.183013
170,0.122788,0.122788,0.984808,-0.992404,0.007596,0.122788
175,0.061628,0.061628,0.996195,-0.998097,0.001903,0.061628
180,0.000000,0.000000,1.000000,-1.000000,0.000000,0.000000
185,-0.061628,-0.061628,0.996195,-0.998097,0.001903,-0.061628
190,-0.122788,-0.122788,0.984808,-0.992404,0.007596,-0.122788
195,-0.183013,-0.183013,0.965926,-0.982963,0.017037,-0.183013
200,-0.241845,-0.241845,0.939693,-0.969846,0.030154,-0.241845
205,-0.298836,-0.298836,0.906308,-0.953154,0.046846,-0.298836
210,-0.353553,-0.353553,0.866025,-0.933013,0.066987,-0.353553
215,-0.405580,-0.405580,0.819152,-0.909576,0.090424,-0.405580
220,-0.454519,-0.454519,0.766044,-0.883022,0.116978,-0.454519
225,-0.500000,-0.500000,0.707107,-0.853553,0.146447,-0.500000
230,-0.541675,-0.541675,0.642788,-0.821394,0.178606,-0.541675
235,-0.579228,-0.579228,0.573576,-0.786788,0.213212,-0.579228
240,-0.612372,-0.612372,0.500000,-0.750000,0.250000,-0.612372
245,-0.640856,-0.640856,0.422618,-0.711309,0.288691,-0.640856
250,-0.664463,-0.664463,0.342020,-0.671010,0.328990,-0.664463
255,-0.683013,-0.683013,0.258819,-0.629410,0.370590,-0.683013
260,-0.696364,-0.696364,0.173648,-0.586824,0.413176,-0.696364
265,-0.704416,-0.704416,0.087156,-0.543578,0.456422,-0.704416
270,-0.707107,-0.707107,0.000000,-0.500000,0.500000,-0.707107
275,-0.704416,-0.704416,-0.087156,-0.456422,0.543578,-0.704416
280,-0.696364,-0.696364,-0.173648,-0.413176,0.586824,-0.696364
285,-0.683013,-0.683013,-0.258819,-0.370590,0.629410,-0.683013
290,-0.664463,-0.664463,-0.342020,-0.328990,0.671010,-0.664463
295,-0.640856,-0.640856,-0.422618,-0.288691,0.711309,-0.640856
300,-0.612372,-0.612372,-0.500000,-0.250000,0.750000,-0.612372
305,-0.579228,-0.579228,-0.573576,-0.213212,0.786788,-0.579228
310,-0.541675,-0.541675,-0.642788,-0.178606,0.821394,-0.541675
315,-0.500000,-0.500000,-0.707107,-0.146447,0.853553,-0.500000
320,-0.454519,-0.454519,-0.766044,-0.116978,0.883022,-0.454519
325,-0.405580,-0.405580,-0.819152,-0.090424,0.909576,-0.405580
330,-0.353553,-0.353553,-0.866025,-0.066987,0.933013,-0.353553
335,-0.298836,-0.298836,-0.906308,-0.046846,0.953154,-0.298836
340,-0.241845,-0.241845,-0.939693,-0.030154,0.969846,-0.241845
345,-0.183013,-0.183013,-0.965926,-0.017037,0.982963,-0.183013
350,-0.122788,-0.122788,-0.984808,-0.007596,0.992404,-0.122788
355,-0.061628,-0.061628,-0.996195,-0.001903,0.998097,-0.061628
360,-0.000000,-0.000000,-1.000000,-0.000000,1.000000,-0.000000
